Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Seagate,Expansion Desk 2TB,25,48.5,6452,https://usb.userbenchmark.com/SpeedTest/2499/Seagate-Expansion-Desk
USB,DTHX30/64GB,Kingston,DataTraveler HyperX USB 3.0 64GB,26,46.4,621,https://usb.userbenchmark.com/Kingston-DataTraveler-HyperX-USB-30-64GB/Rating/1413
USB,,BUFFALO,HD-LXU3 1TB,27,45.7,67,https://usb.userbenchmark.com/SpeedTest/5083/BUFFALO-HD-LXU3
USB,,Seagate,Backup+ Desk 3TB,28,45.1,899,https://usb.userbenchmark.com/SpeedTest/3835/Seagate-Backup--Desk
USB,9000349,Lacie,XtremKey USB 3.0 64GB,29,45.1,4,https://usb.userbenchmark.com/Lacie-XtremKey-USB-30-64GB/Rating/1565
USB,,ST3000DM,001-1CH166 3TB,30,44.9,127,https://usb.userbenchmark.com/SpeedTest/10423/ST3000DM-001-1CH166
USB,,Kingston,DT HyperX 3.0 126GB,31,44.6,103,https://usb.userbenchmark.com/SpeedTest/5359/Kingston-DT-HyperX-30
USB,AUE700-128G-CBK,Adata,DashDrive Elite UE700 128GB,32,44.5,39,https://usb.userbenchmark.com/SpeedTest/5044/ADATA-USB-Flash-Drive
USB,PSF128GXPUSB,Patriot,Supersonic Xpress USB 3.0 128GB,33,43.7,105,https://usb.userbenchmark.com/SpeedTest/4692/Patriot-Memory
USB,,BUFFALO,External HDD 3TB,34,43.6,153,https://usb.userbenchmark.com/SpeedTest/7033/BUFFALO-External-HDD
USB,,Intenso,USB 3.0 Device 2TB,35,43.6,633,https://usb.userbenchmark.com/SpeedTest/12198/Intenso-USB-30-Device
USB,SDCZ800-128G,SanDisk,Extreme Go USB 3.1 128GB,36,43.1,798,https://usb.userbenchmark.com/SpeedTest/259550/SanDisk-Extreme
USB,,ST3000DM,001-9YN166 3TB,37,42.8,17,https://usb.userbenchmark.com/SpeedTest/12114/ST3000DM-001-9YN166
USB,,WD,My Book 1230 4TB,38,42.7,10320,https://usb.userbenchmark.com/SpeedTest/2929/WD-My-Book-1230
