Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,HX426C16FW2K2/16,HyperX,Fury 2666 C16 2x8GB,56,80.6,105574,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,HX426C16FR2K2/16,HyperX,Fury 2666 C16 2x8GB,56,80.6,105574,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,CMK16GX4M2C3000C16,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,57,80.4,4010,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16B,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,57,80.4,4010,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16R,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,57,80.4,4010,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16W,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,57,80.4,4010,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,BLS4K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,58,79.6,571,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,BLS4K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,58,79.6,571,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,BLS4K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,58,79.6,571,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,HX424C15FBK2/16,HyperX,Fury DDR4 2400 C15 2x8GB,59,78,17559,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-2x8GB/Rating/3587
RAM,F4-2400C15Q-32GVR,G.SKILL,Ripjaws V DDR4 2400 C15 4x8GB,60,77.2,5376,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-4x8GB/Rating/3568
RAM,CMK16GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,61,77,96273,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
RAM,CMK16GX4M2A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,61,77,96273,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
RAM,CMK8GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x4GB,62,76.9,14656,https://ram.userbenchmark.com/SpeedTest/90467/Corsair-Vengeance-LPX-CMK8GX4M2A2666C16-2x4GB
RAM,BLS2K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,63,76.5,7132,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,63,76.5,7132,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,63,76.5,7132,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x8GB,64,76,3292,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x8GB/Rating/3611
RAM,CMR16GX4M2A2666C16,Corsair,Vengeance RGB DDR4 2666 C16 2x8GB,65,75.8,8125,https://ram.userbenchmark.com/SpeedTest/282283/Corsair-CMR16GX4M2A2666C16-2x8GB
RAM,CMK32GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x16GB,66,75.7,6329,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB
RAM,CMK32GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x16GB,67,75.5,19129,https://ram.userbenchmark.com/SpeedTest/92488/Corsair-Vengeance-LPX-CMK32GX4M2A2666C16-2x16GB
RAM,CMU16GX4M2A2666C16,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,68,74.9,11570,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMU16GX4M2A2666C16B,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,68,74.9,11570,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMU16GX4M2A2666C16R,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,68,74.9,11570,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMK16GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x8GB,69,74.8,86008,https://ram.userbenchmark.com/SpeedTest/92730/Corsair-Vengeance-LPX-CMK16GX4M2A2400C16-2x8GB
RAM,CMK8GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x4GB,70,74.2,7181,https://ram.userbenchmark.com/SpeedTest/105361/Corsair-Vengeance-LPX-CMK8GX4M2A2400C16-2x4GB
RAM,CMU16GX4M2A2400C16,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,71,73.3,2590,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,CMU16GX4M2A2400C16B,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,71,73.3,2590,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,CMU16GX4M2A2400C16R,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,71,73.3,2590,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,F4-2400C15D-8GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x4GB,72,72.9,15969,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559
RAM,F4-2400C15D-16GRR,G.SKILL,Ripjaws 4 DDR4 2400 C15 2x8GB,73,72.5,5003,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551
RAM,F3-2400C10Q-32GTX,G.SKILL,TridentX DDR3 2400 C10 4x8GB,74,72.4,4606,https://ram.userbenchmark.com/SpeedTest/89345/GSKILL-F3-2400C10-8GTX-4x8GB
RAM,F4-2400C15D-16GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,75,72.3,81633,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVB,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,75,72.3,81633,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVK,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,75,72.3,81633,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVS,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,75,72.3,81633,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVG,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,75,72.3,81633,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,CMK16GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,76,72,54372,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
RAM,CMK16GX4M2A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,76,72,54372,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
RAM,HX421C14FBK2/16,HyperX,Fury DDR4 2133 C14 2x8GB,77,71.7,53907,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552
RAM,HX421C14FB2K2/16,HyperX,Fury DDR4 2133 C14 2x8GB,77,71.7,53907,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552
RAM,CMK8GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x4GB,78,70.9,14250,https://ram.userbenchmark.com/SpeedTest/89740/Corsair-Vengeance-LPX-CMK8GX4M2A2400C14-2x4GB
RAM,F4-2133C15D-32GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x16GB,79,70.7,2130,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x16GB/Rating/3633
RAM,CMK16GX4M2A2133C13,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,80,69.9,40287,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
RAM,CMK16GX4M2A2133C13R,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,80,69.9,40287,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
RAM,HX421C14FBK2/8,HyperX,Fury DDR4 2133 C14 2x4GB,81,69.4,40549,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x4GB/Rating/3554
RAM,F4-2133C15D-8GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x4GB,82,69.2,6908,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x4GB/Rating/3560
RAM,F4-2133C15D-16GVB,G.SKILL,Ripjaws V DDR4 2133 C15 2x8GB,83,68,14079,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632
